state,word,tfidf_score,word_count,num_streets_with_word
iowa,highway,3276.5834878526675,555,16491
iowa,view,1542.7134829803663,273,21234
iowa,valley,1186.9061033603048,203,17457
iowa,prairie,1056.3983808440878,139,3024
iowa,parkway,908.1575612179181,150,14185
kansas,terrace,5532.159579310917,1065,33517
kansas,township,2370.278961600891,317,3419
kansas,lake,1057.2695639996446,201,31391
kansas,parkway,956.5926311495405,158,14185
kansas,highway,915.0818749858802,155,16491
kentucky,cemetery,14994.08954397441,2145,5564
kentucky,branch,10835.028837434009,1648,8431
kentucky,old,7691.823904558771,1439,28827
kentucky,fork,7668.046998008202,1052,4127
kentucky,hollow,7153.350312831613,1201,15649
louisiana,parish,12469.203962558546,1537,1811
louisiana,rue,6015.978287559438,744,1860
louisiana,loop,5066.266811591344,908,22805
louisiana,highway,3571.771189461016,605,16491
louisiana,lake,3203.3689774914606,609,31391
maine,point,4460.061965373202,789,21195
maine,cove,3346.9861730397715,628,29282
maine,fire,3336.5552214340128,412,1837
maine,pond,3279.72666859242,488,7285
maine,brook,2773.2738392618594,423,8588
maryland,terrace,7433.352448820585,1431,33517
maryland,farm,4180.611849145461,681,13035
maryland,old,3362.1662515409776,629,28827
maryland,mill,3114.055724212275,501,12072
maryland,point,2939.4578225526807,520,21195
massachusetts,terrace,8576.14597694115,1651,33517
massachusetts,old,4228.097782144537,791,28827
massachusetts,pond,3824.107529567801,569,7285
massachusetts,extension,3789.953259600806,479,2213
massachusetts,path,3396.7286865407305,491,5981
michigan,lake,11961.34820166762,2274,31391
michigan,highway,4811.559536216079,815,16491
michigan,pine,3740.82544068543,618,14203
michigan,river,3489.2452342312454,577,14287
michigan,point,3137.3059452244956,555,21195
minnesota,lake,10819.917876354571,2057,31391
minnesota,highway,3884.6701531658655,658,16491
minnesota,point,3103.389124195042,549,21195
minnesota,bay,2642.9609906497485,408,9288
minnesota,1/2,2635.6198693773604,321,1642
mississippi,cove,12966.906622620643,2433,29282
mississippi,smith,3958.375383601495,540,3960
mississippi,old,3672.1911205224987,687,28827
mississippi,lake,3166.548644416846,602,31391
mississippi,loop,2689.36189778307,482,22805
missouri,terrace,7817.746635552047,1505,33517
missouri,farm,5389.981209324104,878,13035
missouri,valley,4367.580587242107,747,17457
missouri,lake,3934.5155914016627,748,31391
missouri,rd,3813.8931741800166,529,4468
montana,loop,2767.4761437767693,496,22805
montana,development,2113.732579273059,256,1568
montana,forest,2058.1977326104247,348,16317
montana,national,2032.698674912007,262,2581
montana,view,1599.2231343715885,283,21234
nebraska,plaza,2979.2317946450935,399,3455
nebraska,highway,1546.783556427746,262,16491
nebraska,lake,668.0260429251487,127,31391
nebraska,a,655.4924796605594,87,3229
nebraska,1/2,591.1670735052023,72,1642
nevada,canyon,4362.324845126622,655,7741
nevada,peak,3509.4228724486748,460,2937
nevada,valley,3350.2324986475596,573,17457
nevada,falls,2858.3056329285146,396,4431
nevada,springs,2767.200167991865,431,9837
new-hampshire,pond,2016.2254110199303,300,7285
new-hampshire,old,1833.4229320803743,343,28827
new-hampshire,brook,1829.1806173854818,279,8588
new-hampshire,farm,1596.1219982053155,260,13035
new-hampshire,terrace,1205.1277205635051,232,33517
new-jersey,terrace,8752.759522196147,1685,33517
new-jersey,old,2196.900364679399,411,28827
new-jersey,brook,1737.393776369723,265,8588
new-jersey,parkway,1731.5537500554972,286,14185
new-jersey,van,1647.2762967608166,218,3159
new-mexico,calle,7130.080729729359,1032,6035
new-mexico,de,6219.4215325382065,894,5753
new-mexico,camino,6136.788769512202,814,3214
new-mexico,del,4625.986369711306,651,4956
new-mexico,loop,4329.761063650752,776,22805
new-york,terrace,6815.205040428097,1312,33517
new-york,old,6553.284299505944,1226,28827
new-york,hollow,4407.5597264741,740,15649
new-york,lake,3976.595972058365,756,31391
new-york,parkway,3832.4249083396144,633,14185
north-carolina,farm,12873.337808602102,2097,13035
north-carolina,old,10936.394516141241,2046,28827
north-carolina,church,8000.530605072037,1195,7475
north-carolina,cove,7845.165042539083,1472,29282
north-carolina,view,7397.1133671109865,1309,21234
north-dakota,1/2,1231.5980698025048,150,1642
north-dakota,highway,1186.6545604655607,201,16491
north-dakota,loop,613.7547899504932,110,22805
north-dakota,state,556.7942699939506,84,7989
north-dakota,2nd,375.97738002727925,47,2028
ohio,township,17915.420794939226,2396,3419
ohio,highway,10219.398229681023,1731,16491
ohio,run,5909.684918134177,994,15819
ohio,town,5439.029647858055,732,3583
ohio,parkway,3820.316140856709,631,14185
oklahoma,terrace,3506.2983249153704,675,33517
oklahoma,hollow,3168.678073627326,532,15649
oklahoma,lake,1641.1348456113888,312,31391
oklahoma,highway,1564.4948185242467,265,16491
oklahoma,valley,1257.0680405047563,215,17457
oregon,forest,7493.495767866115,1267,16317
oregon,loop,6237.980501496831,1118,22805
oregon,terrace,4633.508304925201,892,33517
oregon,development,4367.83021263847,529,1568
oregon,national,4259.357147048442,549,2581
pennsylvania,run,7824.089891614262,1316,15819
pennsylvania,hollow,6790.0244434871265,1140,15649
pennsylvania,old,5569.757128943877,1042,28827
pennsylvania,terrace,4498.450887965497,866,33517
pennsylvania,valley,4081.08601056893,698,17457
rhode-island,terrace,976.569014939392,188,33517
rhode-island,farm,779.6442068156733,127,13035
rhode-island,view,734.6254680858887,130,21234
rhode-island,old,732.3001215597997,137,28827
rhode-island,pond,544.3808609753812,81,7285
south-carolina,old,5778.222127052141,1081,28827
south-carolina,state,5196.746519943539,784,7989
south-carolina,point,4929.244656280649,872,21195
south-carolina,farm,4211.306502957102,686,13035
